1-cysPrx_C	80,189,172
120_Rick_ant	255,255,255
12TM_1	255,255,255
14-3-3	108,118,228
17kDa_Anti_2	255,255,255
2-Hacid_dh	255,255,255
2-Hacid_dh_C	192,197,93
2-oxoacid_dh	204,74,202
2-oxogl_dehyd_N	102,223,145
2-ph_phosp	100,192,62
23ISL	255,255,255
23S_rRNA_IVP	255,255,255
2CSK_N	207,229,84
2C_adapt	255,255,255
2EXR	93,200,209
2Fe-2S_Ferredox	255,255,255
2Fe-2S_thioredx	162,204,87
2H-phosphodiest	255,255,255
2HCT	255,255,255
2OG-FeII_Oxy	184,68,180
2OG-FeII_Oxy_2	182,67,194
2OG-FeII_Oxy_3	163,67,223
2OG-FeII_Oxy_4	255,255,255
2OG-FeII_Oxy_5	116,189,68
2OG-Fe_Oxy_2	201,88,89
2TM	160,218,100
2_5_RNA_ligase2	67,81,196
3-HAO	255,255,255
3-PAP	255,255,255
3-alpha	90,182,89
3-dmu-9_3-mt	64,57,201
30K_MP_C_Ter	255,255,255
3A	255,255,255
3Beta_HSD	212,81,225
3D	255,255,255
3H	255,255,255
3HBOH	212,66,63
3HCDH	180,78,60
3HCDH_N	212,65,199
3HCDH_RFF	104,227,174
40S_S4_C	255,255,255
40S_SA_C	255,255,255
4F5	220,95,212
4HBT	143,103,215
4HBT_2	213,114,82
4HBT_3	136,87,203
4HB_MCP_1	100,214,134
4HFCP_synth	53,182,128
4HPAD_g_N	216,105,91
4PPT_N	84,194,71
4_1_CTD	255,255,255
5-FTHF_cyc-lig	201,76,201
5-nucleotidase	184,130,52
53-BP1_Tudor	255,255,255
5HT_transport_N	255,255,255
5TM-5TMR_LYT	88,218,224
5_3_exonuc	81,184,187
5_3_exonuc_N	118,228,108
5_nucleotid	255,255,255
5_nucleotid_C	215,156,101
60KD_IMP	255,255,255
6PF2K	255,255,255
6PGD	57,119,210
7TM-7TMR_HD	255,255,255
7TMR-DISMED2	255,255,255
7TMR-DISM_7TM	255,255,255
7TMR-HDED	255,255,255
7TM_GPCR_Sra	255,255,255
7TM_GPCR_Srab	255,255,255
7TM_GPCR_Srb	255,255,255
7TM_GPCR_Srbc	255,255,255
7TM_GPCR_Srd	255,255,255
7TM_GPCR_Srh	255,255,255
7TM_GPCR_Sri	255,255,255
7TM_GPCR_Srj	255,255,255
7TM_GPCR_Srsx	255,255,255
7TM_GPCR_Srt	255,255,255
7TM_GPCR_Sru	255,255,255
7TM_GPCR_Srv	255,255,255
7TM_GPCR_Srw	255,255,255
7TM_GPCR_Srx	255,255,255
7TM_GPCR_Srz	255,255,255
7TM_GPCR_Str	255,255,255
7TM_transglut	255,255,255
7kD_DNA_binding	255,255,255
7tm_1	255,255,255
7tm_2	255,255,255
7tm_3	255,255,255
7tm_4	255,255,255
7tm_6	255,255,255
7tm_7	255,255,255
8TM_micro	255,255,255
A-2_8-polyST	255,255,255
A1_Propeptide	255,255,255
A2L_zn_ribbon	255,255,255
A2M	255,255,255
A2M_BRD	255,255,255
A2M_recep	255,255,255
AA9	83,120,199
AAA	57,194,204
AAA-ATPase_like	255,255,255
AAA_10	78,227,218
AAA_11	202,54,99
AAA_12	128,64,192
AAA_13	102,211,211
AAA_14	77,222,177
AAA_15	98,206,213
AAA_16	186,102,77
AAA_17	217,172,75
AAA_18	77,199,166
AAA_19	80,199,91
AAA_2	132,215,72
AAA_21	215,121,101
AAA_22	174,224,73
AAA_23	57,185,214
AAA_24	96,198,207
AAA_25	81,83,185
AAA_26	93,118,228
AAA_27	224,63,78
AAA_28	64,192,136
AAA_29	255,255,255
AAA_3	225,222,92
AAA_30	127,205,82
AAA_31	144,187,62
AAA_32	96,115,197
AAA_33	83,141,224
AAA_34	255,255,255
AAA_35	255,255,255
AAA_5	216,227,88
AAA_6	255,255,255
AAA_7	255,255,255
AAA_8	255,255,255
AAA_9	255,255,255
AAA_PrkA	255,255,255
AAA_assoc	255,255,255
AAA_assoc_2	186,178,53
AAA_assoc_C	74,193,198
AAA_lid_2	105,160,227
AAA_lid_3	176,219,76
AAA_lid_4	208,221,80
AAA_lid_6	72,213,76
AAA_lid_8	199,145,60
AAA_lid_9	71,219,121
AAL_decarboxy	222,144,96
AAR2	203,149,101
AARP2CN	255,255,255
AAT	101,81,194
AATF-Che1	255,255,255
AATase	255,255,255
AA_kinase	148,78,224
AA_permease	82,225,201
AA_permease_2	180,217,107
AA_permease_C	255,255,255
AA_permease_N	255,255,255
AA_synth	255,255,255
ABATE	138,187,82
ABA_GPCR	255,255,255
