bgc_id	motif_id	n_training_matches	score_threshold	score	hit_genes
BGC0000001	M0296	192	6.02	6.02	FMN_red,Sugar_tr
BGC0000001	M0301	49	8.346	8.346	AS-p450_c16,Thioesterase_c35
BGC0000001	M0327	69	8.846	8.846	FMN_red,Thioesterase_c35
BGC0000001	M0465	184	8.162	8.162	Bac_luciferase,Thioesterase_c35
BGC0000001	MG1260_M1163_M1166	83	9.227	14.004	2-oxoacid_dh,AS-fabH_c18,FrsA-like
BGC0000001	MG1262_M1172_M1173	244	13.038	33.021	2-oxoacid_dh,AOC_like,AS-fabH_c18,FrsA-like
BGC0000001	MG1850_M0505_M0626	1246	4.101	7.582	Bac_luciferase,FMN_red,Sugar_tr
BGC0000002	M0437	179	8.37	8.37	AS-DegT_DnrJ_EryC1_c15,NTP_transferase
BGC0000002	M0560	43	7.733	7.733	AS-MGT_c0,GDP_Man_Dehyd
BGC0000002	M0680	56	10.538	10.538	Methyltransf_13;Methyltransf_23;Methyltransf_14,NTP_transferase
BGC0000002	M1090	59	10.581	10.581	AS-DegT_DnrJ_EryC1_c15,GDP_Man_Dehyd
BGC0000002	M1091	81	15.217	15.217	AS-DegT_DnrJ_EryC1_c15,AS-dTDP_sugar_isom_c2,Hexose_dehydrat
BGC0000002	M1182	117	7.646	14.024	AS-dTDP_sugar_isom_c2,GDP_Man_Dehyd,NTP_transferase
BGC0000002	MG1423_M1723_M1852	74	-6.585	5.787	AS-MGT_c4;AS-MGT_c11,Glyco_hydro_20b;Glyco_hydro_20,Hexose_dehydrat
BGC0000002	MG1488_M0840_M1121	326	18.423	23.636	AS-MGT_c0,AS-dTDP_sugar_isom_c2,GDP_Man_Dehyd,Hexose_dehydrat
BGC0000002	MG1489_M1416_M1417	369	29.466	35.161	AS-DegT_DnrJ_EryC1_c15,AS-MGT_c0,AS-dTDP_sugar_isom_c2,GDP_Man_Dehyd,Hexose_dehydrat,Methyltransf_13;Methyltransf_23;Methyltransf_14,NTP_transferase
BGC0000002	MG450_M0751_M2593_M2610	813	7.728	13.019	AS-MGT_c0,GDP_Man_Dehyd,NTP_transferase
BGC0000002	MG475_M1088_M1089	204	4.345	4.345	AS-DegT_DnrJ_EryC1_c15,GDP_Man_Dehyd
BGC0000004	M0148	80	8.378	8.378	Abhydrolase_3,Aldo_ket_red
BGC0000004	MG1484_M0032_M2806_M2894	31	-93.284	-91.465	Aldo_ket_red,KR_c43,NAD_binding_10
BGC0000006	M0148	80	8.378	8.378	Abhydrolase_3,Aldo_ket_red
BGC0000006	M0572	195	7.07	7.07	Aldo_ket_red,KR_c28
BGC0000006	MG1484_M0032_M2806_M2894	31	-93.284	-85.247	Aldo_ket_red,KR_c28,KR_c43,NAD_binding_10
BGC0000007	M0148	80	8.378	8.378	Abhydrolase_3,Aldo_ket_red
BGC0000007	MG1484_M0032_M2806_M2894	31	-93.284	-91.465	Aldo_ket_red,KR_c43,NAD_binding_10
BGC0000008	M0148	80	8.378	8.378	Abhydrolase_3,Aldo_ket_red
BGC0000008	M0572	195	7.07	7.07	Aldo_ket_red,KR_c28
BGC0000008	MG1484_M0032_M2806_M2894	31	-93.284	-85.247	Aldo_ket_red,KR_c28,KR_c43,NAD_binding_10
BGC0000009	M0148	80	8.378	8.378	Abhydrolase_3,Aldo_ket_red
BGC0000009	MG1484_M0032_M2806_M2894	31	-93.284	-91.465	Aldo_ket_red,KR_c43,NAD_binding_10
BGC0000010	M0148	80	8.378	8.378	Abhydrolase_3,Aldo_ket_red
BGC0000010	M0572	195	7.07	7.07	Aldo_ket_red,KR_c28
BGC0000010	MG1484_M0032_M2806_M2894	31	-93.284	-85.247	Aldo_ket_red,KR_c28,KR_c43,NAD_binding_10
BGC0000011	M0148	80	8.378	8.378	Abhydrolase_3,Aldo_ket_red
BGC0000011	MG1484_M0032_M2806_M2894	31	-93.284	-91.465	Aldo_ket_red,KR_c43,NAD_binding_10
BGC0000014	MG149_M2827_M2837_M2838	23	-25.855	-23.132	FA_hydroxylase,Rieske;VanA_C
BGC0000017	MG1336_M0511_M0964	411	6.665	6.665	AS-AMP-binding_c21,Thioesterase_c37
BGC0000020	M1193	49	7.159	12.874	3HCDH_N;3HCDH,AS-DegT_DnrJ_EryC1_c15,DHquinase_II
BGC0000020	MG1314_M1251_M1842	399	11.441	11.441	3HCDH_N;3HCDH,AS-PP-binding_c23
BGC0000020	MG494_M1556_M1899_M1903_M1908_M1909_M1911_M1914_M1916_M1917	269	-1.697	12.934	AS-DegT_DnrJ_EryC1_c15,Acetyltransf_2,DHquinase_II,ROK
BGC0000021	MG1318_M0707_M1134_M1253_M1254_M2037	648	2.128	18.349	3HCDH_N;3HCDH,AS-Methyltransf_3_c0,HAD_2_c20
BGC0000021	MG1423_M1723_M1852	74	-6.585	-0.511	Epimerase_c47,Hexose_dehydrat
BGC0000021	MG994_M1983_M2521_M2525_M2526	1036	-2.706	-0.563	Rieske;Ring_hydroxyl_A,Ring_hydroxyl_B
BGC0000026	M0201	135	7.691	7.691	AS-MannoseP_isomer_c2,Aldo_ket_red
BGC0000026	M0333	41	6.56	9.841	E1_dh,Transket_pyr;Transketolase_C
BGC0000026	M0680	56	10.538	23.628	Epimerase_c25,Methyltransf_13;Methyltransf_23;Methyltransf_14,Methyltransf_21,NTP_transferase
BGC0000026	M0722	86	-3.766	-1.711	AS-MannoseP_isomer_c2,Methyltransf_23,NTP_transferase
BGC0000026	M0848	88	9.632	15.758	Methyltransf_21,Methyltransf_23,NTP_transferase
BGC0000026	MG1410_M0344_M0429_M2012_M2015	1046	-3.047	8.703	E1_dh,Transket_pyr;Transketolase_C
BGC0000026	MG1412_M0921_M2016_M2017	621	3.807	11.038	E1_dh,Transket_pyr;Transketolase_C
BGC0000026	MG1484_M0032_M2806_M2894	31	-93.284	-86.19	AS-ksIII_c2,Aldo_ket_red,Methyltransf_23
BGC0000028	M0206	150	8.073	8.073	Aminotran_1_2,Thioesterase_c35
BGC0000028	M0207	80	8.519	26.942	AS-Methyltransf_3_c0,AS-PP-binding_c23,Aminotran_1_2,Docking;AS-mod_KS_c48;Acyl_transf_1_c43;PS-DH_c48;AS-adh_short;AS-PP-binding_c22;Thioesterase_c49
BGC0000028	M0523	97	11.052	11.052	AS-PP-binding_c23,Thioesterase_c35
BGC0000028	MG1314_M1251_M1842	399	11.441	16.74	3HCDH_N;3HCDH,AS-PP-binding_c23,Thioesterase_c35
BGC0000028	MG1318_M0707_M1134_M1253_M1254_M2037	648	2.128	25.797	3HCDH_N;3HCDH,AS-Methyltransf_3_c0,AS-PP-binding_c23,HAD_2_c20
BGC0000029	M0149	55	-2.0	-2.0	AS-PF00561,Acyltransferase
BGC0000029	M0627	29	3.086	5.359	AS-PKS_AT_c24,AS-p450_c9,Thioesterase_c3
BGC0000029	M1098	188	13.076	13.076	AS-PKS_AT_c24,Thioesterase_c3
BGC0000029	MG1484_M0032_M2806_M2894	31	-93.284	-88.055	AS-PF00561,AS-PKS_AT_c24,Acyltransferase
BGC0000031	M0065	57	8.887	8.887	CMD,DJ-1_PfpI
BGC0000031	M0138	178	7.072	7.072	AS-PF00561,DJ-1_PfpI
BGC0000031	M0171	91	5.734	8.4	Bac_luciferase,CMD,CoA_transf_3
BGC0000031	M0231	106	6.641	6.641	CoA_transf_3,TPP_enzyme_N;TPP_enzyme_M;TPP_enzyme_C
BGC0000031	M0376	97	7.177	7.177	AS-PF00561,CMD
BGC0000031	M1057	188	7.04	7.04	Aldedh,Bac_luciferase
BGC0000031	M1185	200	9.252	9.252	DJ-1_PfpI,HD
BGC0000031	MG1357_M1293_M1551_M1552	336	-9.109	-7.966	Aldedh,Bac_luciferase,Polyketide_cyc
BGC0000031	MG1484_M0032_M2806_M2894	31	-93.284	-75.821	AS-PF00561,Bac_luciferase,CoA_transf_3,Polyketide_cyc,TPP_enzyme_N;TPP_enzyme_M;TPP_enzyme_C
BGC0000031	MG1774_M0385_M0855	653	3.388	11.825	Aldedh,FAA_hydrolase,TPP_enzyme_N;TPP_enzyme_M;TPP_enzyme_C
BGC0000031	MG1980_M1827_M1969_M1973_M1974_M1976_M1977	193	-44.001	-43.807	AS-PF00561,Hydrolase_4
BGC0000031	MG994_M1983_M2521_M2525_M2526	1036	-2.706	-2.706	AS-PF00561,FAA_hydrolase
BGC0000032	M0523	97	11.052	11.052	AS-PP-binding_c23,Thioesterase_c35
BGC0000032	MG1336_M0511_M0964	411	6.665	8.531	AS-AMP-binding_c21,Thioesterase_c35
BGC0000032	MG830_M1441_M1444_M1450_M1451_M1455	446	3.872	12.848	Chorismate_bind_c1;GATase_c1,DAHP_synth_2_c8;DAHP_synth_2_c2,Isochorismatase_c21
BGC0000032	MG841_M1858_M1936	347	9.606	10.402	AS-EntA_c6,Isochorismatase_c21
BGC0000033	M0437	179	8.37	19.806	AS-DegT_DnrJ_EryC1_c15,Epimerase_c16,NTP_transferase,UDPG_MGDP_dh_N;UDPG_MGDP_dh;UDPG_MGDP_dh_C
BGC0000033	M0560	43	7.733	22.71	AS-MGT_c0,Cys_Met_Meta_PP_c3,GDP_Man_Dehyd,Radical_SAM_c33
BGC0000033	M0652	59	9.275	9.275	AS-DegT_DnrJ_EryC1_c15,Epimerase_c16
BGC0000033	M1090	59	10.581	10.581	AS-DegT_DnrJ_EryC1_c15,GDP_Man_Dehyd
BGC0000033	M1091	81	15.217	22.404	AS-DegT_DnrJ_EryC1_c15,AS-dTDP_sugar_isom_c2,Epimerase_c16,Hexose_dehydrat
BGC0000033	M1182	117	7.646	14.024	AS-dTDP_sugar_isom_c2,GDP_Man_Dehyd,NTP_transferase
BGC0000033	MG1378_M2130_M2134_M2150_M2172_M2175_M2176	657	-4.649	17.262	4HBT_c40,DUF1702,FG-GAP_3;UnbV_ASPIC
BGC0000033	MG1381_M2142_M2159	294	18.367	28.179	4HBT_c40,DUF1702,FG-GAP_3;UnbV_ASPIC,SCP2
BGC0000033	MG1423_M1723_M1852	74	-6.585	0.731	AS-MGT_c4,Hexose_dehydrat
BGC0000033	MG1484_M0032_M2806_M2894	31	-93.284	-86.047	AS-ksIII_c2,AS-p450_c29,Aldo_ket_red
BGC0000033	MG1488_M0840_M1121	326	18.423	30.09	AS-MGT_c0,AS-MGT_c4,AS-dTDP_sugar_isom_c2,GDP_Man_Dehyd,Hexose_dehydrat
BGC0000033	MG1489_M1416_M1417	369	29.466	40.472	AS-DegT_DnrJ_EryC1_c15,AS-MGT_c0,AS-dTDP_sugar_isom_c2,AS-ksIII_c2,Epimerase_c16,GDP_Man_Dehyd,Hexose_dehydrat,NTP_transferase
BGC0000033	MG1887_M0366_M0416	424	-1.537	-1.537	Aldo_ket_red,Sugar_tr
BGC0000033	MG306_M0894_M1259	132	6.856	6.856	NTP_transferase,UDPG_MGDP_dh_N;UDPG_MGDP_dh;UDPG_MGDP_dh_C
BGC0000033	MG450_M0751_M2593_M2610	813	7.728	20.301	AS-MGT_c0,AS-RmlD_sub_bind_c29,GDP_Man_Dehyd,NTP_transferase
BGC0000033	MG475_M1088_M1089	204	4.345	10.559	AS-DegT_DnrJ_EryC1_c15,AS-p450_c48,GDP_Man_Dehyd
BGC0000034	M1090	59	10.581	10.581	AS-DegT_DnrJ_EryC1_c15,GDP_Man_Dehyd
BGC0000034	MG475_M1088_M1089	204	4.345	20.31	AS-DegT_DnrJ_EryC1_c15,GDP_Man_Dehyd,UDPGT_c29
BGC0000035	M0210	152	7.632	7.632	Aldo_ket_red,SpoIIE
BGC0000035	M0244	55	6.567	6.567	AS-p450_c7,KR_c28
BGC0000035	M0266	49	8.245	8.245	AS-p450_c34,SpoIIE
BGC0000035	M0560	43	7.733	25.128	AS-MGT_c0,GDP_Man_Dehyd,MycE_N,Radical_SAM_c33
BGC0000035	M0572	195	7.07	7.07	Aldo_ket_red,KR_c28
BGC0000035	M1182	117	7.646	14.024	AS-dTDP_sugar_isom_c2,GDP_Man_Dehyd,NTP_transferase
BGC0000035	MG1980_M1827_M1969_M1973_M1974_M1976_M1977	193	-44.001	-40.497	AS-p450_c7,Aldo_ket_red,KR_c28
BGC0000035	MG450_M0751_M2593_M2610	813	7.728	13.019	AS-MGT_c0,GDP_Man_Dehyd,NTP_transferase
BGC0000036	M0165	154	7.044	7.044	Peptidase_M20,Sugar_tr
